Check ID	Check Name	Check Type	Severity	Scope	Use Case	Linked DR IDs	DR Mapping Types	Validated Fields	PINT Reference Terms	Description	Conditional Logic / Applies When	Pass Condition	Fail Condition	MoF Rule Reference	Owner Team	Suggested Fix	Evidence Required
UAE-UC1-CHK-001	Invoice Number Present	Presence	Critical	Header	UC1 Standard Tax Invoice	IBT-001	IBT-001:exact	IBT-001=>invoice_number	IBT-001	Validates that invoice number (IBT-001) is present	UC1 Standard Tax Invoice	Invoice number field is not empty	Invoice number field is empty or missing	BR-01	Client Finance	Ensure every invoice has a unique invoice number assigned before submission	Invoice document or source system export showing invoice number
UAE-UC1-CHK-002	Invoice Issue Date Present	Presence	Critical	Header	UC1 Standard Tax Invoice	IBT-002	IBT-002:exact	IBT-002=>issue_date	IBT-002	Validates that invoice issue date (IBT-002) is present	UC1 Standard Tax Invoice	Issue date field is not empty	Issue date field is empty or missing	BR-02	Client Finance	Populate the issue date field with the actual invoice date in YYYY-MM-DD format	Source document showing invoice date
UAE-UC1-CHK-003	Invoice Issue Date Format	Format	High	Header	UC1 Standard Tax Invoice	IBT-002	IBT-002:exact	IBT-002=>issue_date	IBT-002	Validates issue date is in YYYY-MM-DD format (IBT-002)	UC1 Standard Tax Invoice	Issue date matches YYYY-MM-DD pattern	Issue date does not match required format	BR-02-FORMAT	Client IT	Convert date to ISO 8601 format (YYYY-MM-DD) before submission	System configuration showing date format settings
UAE-UC1-CHK-004	Invoice Type Code Present	Presence	Critical	Header	UC1 Standard Tax Invoice	IBT-003	IBT-003:exact	IBT-003=>invoice_type	IBT-003; BTUAE-02	Validates invoice type code (IBT-003) is present	UC1 Standard Tax Invoice	Invoice type code field is not empty	Invoice type code is missing	BR-03	Client Finance	Specify the invoice type (e.g., 380 for standard invoice, 381 for credit note)	Invoice classification documentation
UAE-UC1-CHK-005	Invoice Currency Present	Presence	Critical	Header	UC1 Standard Tax Invoice	IBT-005	IBT-005:exact	IBT-005=>currency	IBT-005	Validates document currency code (IBT-005) is present	UC1 Standard Tax Invoice	Currency code field is not empty	Currency code is missing	BR-04	Client Finance	Specify the transaction currency using ISO 4217 alpha-3 code	Invoice document showing currency
UAE-UC1-CHK-006	Invoice Currency ISO Format	CodeList	High	Header	UC1 Standard Tax Invoice	IBT-005	IBT-005:exact	IBT-005=>currency	IBT-005	Validates currency is ISO 4217 alpha-3 format (IBT-005)	UC1 Standard Tax Invoice	Currency exists in official ISO4217 codelist	Currency value is not in official ISO4217 codelist	BR-04-CL	Client IT	Use standard ISO 4217 codes (e.g., AED, USD, EUR)	Currency master data configuration
UAE-UC1-CHK-007	Tax Accounting Currency AED Rule	CodeList	Critical	Header	UC1 Standard Tax Invoice				IBT-006; BTUAE-001	Validates tax accounting basis currency is AED (BTUAE-001)	UC1 Standard Tax Invoice	Tax amounts are calculated/reported in AED	Non-AED tax accounting without proper FX conversion	BTUAE-001	Client Finance	Ensure tax calculations use AED as the tax accounting currency per UAE VAT law	Tax calculation documentation showing AED basis
UAE-UC1-CHK-008	FX Rate Required When Non-AED	Dependency	High	Header	UC1 Standard Tax Invoice	IBT-005	IBT-005:partial	IBT-005=>currency	IBT-005; IBT-007; BTUAE-002	Validates FX rate is provided when invoice currency is not AED	UC1 Standard Tax Invoice	FX rate is present when currency != AED, or currency is AED	Non-AED currency without FX rate	BTUAE-002	Client Finance	Provide the exchange rate to AED when invoicing in foreign currency	FX rate source and calculation documentation
UAE-UC1-CHK-009	Payment Due Date Required if Amount Due > 0	Dependency	Medium	Header	UC1 Standard Tax Invoice	IBT-009	IBT-009:exact	IBT-009=>payment_due_date	IBT-009; IBT-081	Validates payment due date is present when amount is due	UC1 Standard Tax Invoice	Due date present when amount due > 0, or no amount due	Amount due exists without payment due date	BR-CO-25	Client Finance	Add payment due date when there is an outstanding amount	Payment terms documentation
UAE-UC1-CHK-010	Specification Identifier Correct Prefix	Format	High	Header	UC1 Standard Tax Invoice	IBT-024	IBT-024:exact	IBT-024=>spec_id	IBT-024	Validates specification identifier (IBT-024) is present and starts with allowed UAE PINT-AE prefixes	UC1 Standard Tax Invoice	Specification identifier is present and starts with an allowed UAE PINT-AE prefix	Specification identifier is missing or does not start with an allowed UAE PINT-AE prefix	BR-01-PINT	Client IT	Set specification identifier to a valid UAE PINT-AE prefix (billing or selfbilling)	System integration configuration
UAE-UC1-CHK-011	Business Process Type Correct	CodeList	High	Header	UC1 Standard Tax Invoice	IBT-023	IBT-023:exact	IBT-023=>business_process	IBT-023	Validates business process type (IBT-023) is present and exactly matches allowed PINT-AE values	UC1 Standard Tax Invoice	Business process type is present and equals an allowed PINT-AE value	Business process type is missing or not in allowed PINT-AE values	BR-02-PINT	Client IT	Set business process type to urn:peppol:bis:billing or urn:peppol:bis:selfbilling	Integration specification document
UAE-UC1-CHK-012	Seller Name Present	Presence	Critical	Party	UC1 Standard Tax Invoice	IBT-027	IBT-027:exact	IBT-027=>seller_name	IBT-027	Validates seller trading name (IBT-027) is present	UC1 Standard Tax Invoice	Seller name field is not empty	Seller name is missing	BR-05	Client Finance	Populate seller name from company master data	Trade license or company registration
UAE-UC1-CHK-013	Seller TRN Pattern Valid	Format	Critical	Party	UC1 Standard Tax Invoice	IBT-031	IBT-031:exact	IBT-031=>seller_trn	IBT-031; IBT-031-1	Validates Seller TRN matches UAE 15-digit format (IBT-031)	UC1 Standard Tax Invoice	Seller TRN is exactly 15 digits	Seller TRN format is invalid	BTUAE-003	Client Finance	Correct the TRN to 15 digits as registered with FTA	FTA TRN certificate
UAE-UC1-CHK-014	Seller Electronic Address Present	Presence	High	Party	UC1 Standard Tax Invoice	IBT-034; IBT-034-1	IBT-034:exact; IBT-034-1:reference_only	IBT-034=>seller_electronic_address; IBT-034-1=>seller_electronic_address	IBT-034; IBT-034-1	Validates seller electronic address endpoint (IBT-034)	UC1 Standard Tax Invoice	Seller endpoint ID is present	Seller electronic address is missing	BR-62	Client IT	Configure seller PEPPOL participant ID or email endpoint	PEPPOL registration or endpoint configuration
UAE-UC1-CHK-014A	Seller Legal Registration Identifier Present	Presence	High	Party	UC1 Standard Tax Invoice	IBT-030	IBT-030:exact	IBT-030=>seller_legal_reg_id	IBT-030	Validates seller legal registration identifier (IBT-030) is present	UC1 Standard Tax Invoice	Seller legal registration identifier is present	Seller legal registration identifier is missing	IBR-150-AE	Client Finance	Populate seller legal registration identifier from company registration records	Trade license or legal registration records
UAE-UC1-CHK-014B	Seller Legal Registration Identifier Type Present	Presence	High	Party	UC1 Standard Tax Invoice	BTUAE-15	BTUAE-15:exact	BTUAE-15=>seller_legal_reg_id_type	BTUAE-15	Validates seller legal registration identifier type (BTUAE-15) is present when seller legal registration identifier exists	UC1 Standard Tax Invoice	Seller legal registration identifier type is present when seller legal registration identifier exists	Seller legal registration identifier type is missing when seller legal registration identifier exists	IBR-181-AE	Client Finance	Populate seller legal registration identifier type from company registration records	Trade license or legal registration type records
UAE-UC1-CHK-015	Seller Address Mandatory Fields	Presence	High	Party	UC1 Standard Tax Invoice	IBT-035; IBT-037; IBT-040	IBT-035:exact; IBT-037:exact; IBT-040:exact	IBT-035=>seller_address; IBT-037=>seller_city; IBT-040=>seller_country	IBT-030; BTUAE-15; IBT-035; IBT-037; IBT-040	Validates seller address has required components (IBT-035 to IBT-040)	UC1 Standard Tax Invoice	Seller street, city, and country code are present	Seller address is incomplete	BR-08	Client Finance	Complete seller address with street, city, and country code (AE)	Company address documentation
UAE-UC1-CHK-016	UAE Subdivision Code Valid	CodeList	Medium	Party	UC1 Standard Tax Invoice	IBT-039	IBT-039:exact	IBT-039=>seller_subdivision	IBT-039; BTUAE-004	Validates UAE emirate/subdivision code (IBT-039)	UC1 Standard Tax Invoice	Subdivision code is valid UAE emirate code	Invalid UAE emirate/subdivision code	BTUAE-004	Client Finance	Use valid UAE emirate code (AE-AZ, AE-AJ, AE-FU, AE-SH, AE-DU, AE-RK, AE-UQ)	Address verification
UAE-UC1-CHK-017	Buyer Name Present	Presence	Critical	Party	UC1 Standard Tax Invoice	IBT-044	IBT-044:exact	IBT-044=>buyer_name	IBT-044	Validates buyer name (IBT-044) is present	UC1 Standard Tax Invoice	Buyer name field is not empty	Buyer name is missing	BR-07	Buyer-side	Obtain and populate buyer legal or trading name	Customer master data or purchase order
UAE-UC1-CHK-018	Buyer TRN Pattern Valid	Format	High	Party	UC1 Standard Tax Invoice	IBT-048	IBT-048:exact	IBT-048=>buyer_trn	IBT-048; IBT-048-1	Validates Buyer TRN matches UAE 15-digit format when present	UC1 Standard Tax Invoice	Buyer TRN is exactly 15 digits (when provided)	Buyer TRN format is invalid	BTUAE-005	Buyer-side	Verify buyer TRN with FTA portal or request valid TRN	Buyer TRN certificate
UAE-UC1-CHK-019	Buyer Electronic Address Present	Presence	High	Party	UC1 Standard Tax Invoice	IBT-049; IBT-049-1	IBT-049:exact; IBT-049-1:reference_only	IBT-049=>buyer_electronic_address; IBT-049-1=>buyer_electronic_address	IBT-049; IBT-049-1	Validates buyer electronic address endpoint (IBT-049)	UC1 Standard Tax Invoice	Buyer endpoint ID is present	Buyer electronic address is missing	BR-63	Client IT	Configure buyer PEPPOL participant ID or email endpoint	Buyer registration or contact details
UAE-UC1-CHK-020	Buyer Address Mandatory Fields	Presence	Medium	Party	UC1 Standard Tax Invoice	IBT-050; IBT-052; IBT-054; IBT-055	IBT-050:exact; IBT-052:exact; IBT-054:exact; IBT-055:exact	IBT-050=>buyer_address; IBT-052=>buyer_city; IBT-054=>buyer_subdivision; IBT-055=>buyer_country	IBT-050; IBT-052; IBT-054; IBT-055	Validates buyer address has required components	UC1 Standard Tax Invoice	Buyer street, city, country subdivision, and country code are present	Buyer address is incomplete	BR-11	Buyer-side	Complete buyer address fields	Customer address records
UAE-UC1-CHK-021	Sum of Line Net Amounts Matches Header	Math	Critical	Cross	UC1 Standard Tax Invoice	IBT-106; IBT-131	IBT-106:exact; IBT-131:partial	IBT-106=>total_excl_vat; IBT-131=>line_total_excl_vat	IBT-106; IBT-131	Validates sum of line net amounts equals header total (IBT-106)	UC1 Standard Tax Invoice	Sum of line net amounts = Invoice total net amount (within tolerance)	Line totals do not sum to header amount	BR-CO-10	Client Finance	Reconcile line item amounts with invoice total	Invoice calculation breakdown
UAE-UC1-CHK-022	Total Without Tax Max 2 Decimals	Format	Medium	Header	UC1 Standard Tax Invoice	IBT-109	IBT-109:exact	IBT-109=>total_excl_vat	IBT-109	Validates total without tax has max 2 decimal places (IBT-109)	UC1 Standard Tax Invoice	Amount has maximum 2 decimal places	Amount has more than 2 decimal places	BR-DEC-12	Client IT	Round total amounts to 2 decimal places	System rounding configuration
UAE-UC1-CHK-023	Total Tax Max 2 Decimals	Format	Medium	Header	UC1 Standard Tax Invoice	IBT-110	IBT-110:exact	IBT-110=>vat_total	IBT-110	Validates total tax amount has max 2 decimal places (IBT-110)	UC1 Standard Tax Invoice	Tax amount has maximum 2 decimal places	Tax amount has more than 2 decimal places	BR-DEC-13	Client IT	Round tax amounts to 2 decimal places	Tax calculation settings
UAE-UC1-CHK-024	Total With Tax Max 2 Decimals	Format	Medium	Header	UC1 Standard Tax Invoice	IBT-112	IBT-112:exact	IBT-112=>total_incl_vat	IBT-112	Validates total with tax has max 2 decimal places (IBT-112)	UC1 Standard Tax Invoice	Total amount has maximum 2 decimal places	Total amount has more than 2 decimal places	BR-DEC-14	Client IT	Round total amounts to 2 decimal places	Invoice amount rounding logic
UAE-UC1-CHK-025	Total With Tax = Without Tax + Tax	Math	Critical	Header	UC1 Standard Tax Invoice	IBT-109; IBT-110; IBT-112	IBT-109:exact; IBT-110:exact; IBT-112:exact	IBT-109=>total_excl_vat; IBT-110=>vat_total; IBT-112=>total_incl_vat	IBT-109; IBT-110; IBT-112	Validates total_incl_vat = total_excl_vat + vat_total (IBT-112)	UC1 Standard Tax Invoice	Total with tax equals sum of net and tax amounts	Total mismatch: Total != Net + Tax	BR-CO-15	Client Finance	Recalculate invoice totals ensuring Total = Net + VAT	Invoice calculation worksheet
UAE-UC1-CHK-026	Amount Due Precision	Format	Low	Header	UC1 Standard Tax Invoice	IBT-115	IBT-115:exact	IBT-115=>amount_due	IBT-115	Validates amount due has proper precision (IBT-115)	UC1 Standard Tax Invoice	Amount due has maximum 2 decimal places	Amount due precision exceeds 2 decimals	BR-DEC-18	Client IT	Round amount due to 2 decimal places	Payment amount calculation
