Check ID	Check Name	Check Purpose	Rule Type	Execution Layer	Severity	Execution Scope	Primary Dataset	Validated Field(s)	Input Dependency Type	Trigger Condition / Applies When	Document Context	Linked DR(s)	Mapping Strength	MoF / Legal Linkage Basis	Expected Failure Condition	Runtime Exception Meaning	Current Runtime Status	Known Gaps / Risks	Owner Team
UAE-UC1-CHK-001	Invoice Number Present	Validates that invoice number (IBT-001) is present	structural_rule	schema	Critical	Header	InvoiceHeaders	invoice_number	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-001	exact	Direct DR linkage	Invoice number field is empty or missing	Invoice number field is empty or missing	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-002	Invoice Issue Date Present	Validates that invoice issue date (IBT-002) is present	structural_rule	schema	Critical	Header	InvoiceHeaders	issue_date	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-002	exact	Direct DR linkage	Issue date field is empty or missing	Issue date field is empty or missing	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-003	Invoice Issue Date Format	Validates issue date is in YYYY-MM-DD format (IBT-002)	structural_rule	schema	High	Header	InvoiceHeaders	issue_date	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-002	exact	Direct DR linkage	Issue date does not match required format	Issue date does not match required format	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-004	Invoice Type Code Present	Validates invoice type code (IBT-003) is present	structural_rule	schema	Critical	Header	InvoiceHeaders	invoice_type	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-003	exact	Direct DR linkage	Invoice type code is missing	Invoice type code is missing	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-005	Invoice Currency Present	Validates document currency code (IBT-005) is present	structural_rule	schema	Critical	Header	InvoiceHeaders	currency	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-005	exact	Direct DR linkage	Currency code is missing	Currency code is missing	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-006	Invoice Currency ISO Format	Validates currency is ISO 4217 alpha-3 format (IBT-005)	dynamic_codelist	codelist	High	Header	InvoiceHeaders	currency	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-005	exact	Direct DR linkage	Currency value is not in official ISO4217 codelist	Currency value is not in official ISO4217 codelist	Implemented	No major repo-specific traceability risk noted	Client IT
UAE-UC1-CHK-007	Tax Accounting Currency AED Rule	Validates tax accounting basis currency is AED (BTUAE-001)	fixed_literal	national_rule	Critical	Header	InvoiceHeaders		Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1		unmapped	Gap / unresolved mapping	Non-AED tax accounting without proper FX conversion	Non-AED tax accounting without proper FX conversion	Not mapped	Traceability gap: should likely map to IBT-006 tax accounting currency	Client Finance
UAE-UC1-CHK-008	FX Rate Required When Non-AED	Validates FX rate is provided when invoice currency is not AED	dependency_rule	dependency_rule	High	Header	InvoiceHeaders	currency	Multi-field	Runs when invoice currency is not AED	Tax Invoice / Default UC1	IBT-005	partial	Crosswalk derived	Non-AED currency without FX rate	Non-AED currency without FX rate	Partially mapped	Multi-field logic means coverage is distributed across several DRs	Client Finance
UAE-UC1-CHK-009	Payment Due Date Required if Amount Due > 0	Validates payment due date is present when amount is due	dependency_rule	dependency_rule	Medium	Header	InvoiceHeaders	payment_due_date	Multi-field	Runs when amount due is greater than zero	Tax Invoice / Default UC1	IBT-009	exact	Direct DR linkage	Amount due exists without payment due date	Amount due exists without payment due date	Implemented	No major repo-specific traceability risk noted	Client Finance
UAE-UC1-CHK-010	Specification Identifier Correct Prefix	Validates specification identifier (IBT-024) is present and starts with allowed UAE PINT-AE prefixes	structural_rule	national_rule	High	Header	InvoiceHeaders	spec_id	Single field	UC1 Standard Tax Invoice	Tax Invoice / Default UC1	IBT-024	exact	Direct DR linkage	Specification identifier is missing or does not start with an allowed UAE PINT-AE prefix	Specification identifier is missing or does not start with an allowed UAE PINT-AE prefix	Implemented	No major repo-specific traceability risk noted	Client IT
