document_type,mof_field_id,mof_business_term,source_template,source_column,internal_field_key,dr_id,classification,transformation_rule,status,notes
tax,1,Invoice number,invoice_headers_template.csv,invoice_number,invoice_number,IBT-001,direct,Read invoice number from headers.invoice_number,covered,
tax,2,Invoice date,invoice_headers_template.csv,issue_date,issue_date,IBT-002,direct,Read invoice date from headers.issue_date,covered,
tax,3,Invoice type code,invoice_headers_template.csv,invoice_type,invoice_type,IBT-003,direct,Read invoice type code from headers.invoice_type,covered,
tax,4,Invoice currency code,invoice_headers_template.csv,currency,currency,IBT-005,direct,Read invoice currency code from headers.currency,covered,
tax,5,Invoice transaction type code,invoice_headers_template.csv,transaction_type_code,transaction_type_code,BTUAE-02,direct,Read transaction type code from headers.transaction_type_code,covered,
tax,6,Payment due date,invoice_headers_template.csv,payment_due_date,payment_due_date,IBT-009,direct,Read payment due date from headers.payment_due_date,covered,
tax,7,Business process type,invoice_headers_template.csv,,business_process,IBT-023,generated,Set business process from system default/config; not supplied as required template column,partially_covered,Commercial literals pending confirmation in MoF source schema.
tax,8,Specification identifier,invoice_headers_template.csv,,spec_id,IBT-024,generated,Set specification identifier from system default/config; not supplied as required template column,partially_covered,Commercial literals pending confirmation in MoF source schema.
tax,9,Payment means type code,invoice_headers_template.csv,payment_means_code,payment_means_code,IBT-081,direct,Read payment means code from headers.payment_means_code,covered,
tax,10,Seller name,invoice_headers_template.csv,seller_name,seller_name,IBT-027,direct,Read seller name from headers.seller_name,covered,
tax,11,Seller electronic address,invoice_headers_template.csv,seller_electronic_address,seller_electronic_address,IBT-034,direct,Read seller electronic address from headers.seller_electronic_address,covered,
tax,12,Seller electronic identifier,invoice_headers_template.csv,,,IBT-034-1,generated,Derive seller electronic identifier metadata from endpoint and scheme rules (ASP-owned),partially_covered,
tax,13,Seller legal registration identifier,invoice_headers_template.csv,seller_legal_reg_id,seller_legal_reg_id,IBT-030,direct,Read seller legal registration identifier from headers.seller_legal_reg_id,covered,
tax,14,Seller legal registration identifier type,invoice_headers_template.csv,seller_legal_reg_id_type,seller_legal_reg_id_type,BTUAE-15,direct,Read seller legal registration identifier type from headers.seller_legal_reg_id_type,covered,
tax,15,Seller tax identifier,invoice_headers_template.csv,seller_trn,seller_trn,IBT-031,direct,Read seller tax identifier from headers.seller_trn,covered,
tax,16,Seller tax scheme code,invoice_headers_template.csv,,,IBT-031-1,generated,Generate seller tax scheme code (e.g. VAT) from jurisdiction policy,partially_covered,
tax,17,Seller address line 1,invoice_headers_template.csv,seller_address,seller_address,IBT-035,direct,Read seller address line from headers.seller_address,covered,
tax,18,Seller city,invoice_headers_template.csv,seller_city,seller_city,IBT-037,direct,Read seller city from headers.seller_city,covered,
tax,19,Seller country subdivision,invoice_headers_template.csv,seller_subdivision,seller_subdivision,IBT-039,direct,Read seller country subdivision from headers.seller_subdivision,covered,
tax,20,Seller country code,invoice_headers_template.csv,seller_country,seller_country,IBT-040,direct,Read seller country code from headers.seller_country,covered,
