Excel Row	DCS Canonical Field Name	PINT-AE Business Term ID	Primary Input Dataset	Secondary Input Dataset	Input Column(s)	Source Template / File	Mapping Type	Transformation / Derivation Logic	Coverage Status	Ingestible in Current 3-Table Model	Validation Rule ID(s)	Validation Rule Name(s)	Runtime Ownership	Evidence / Traceability Notes	Gap / Action Required	Implementation Priority
2	invoice_number	IBT-001	InvoiceHeaders		invoice_number	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-001	Invoice Number Present	ERP	Direct header field to XML invoice ID.	No action.	P1
3	invoice_issue_date	IBT-002	InvoiceHeaders		issue_date	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-002; UAE-UC1-CHK-003	Invoice Issue Date Present; Invoice Issue Date Format	ERP	Direct header field with date-format enforcement.	No action.	P1
4	invoice_type_code	IBT-003	InvoiceHeaders		invoice_type	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-004; UAE-UC1-CHK-045; UAE-UC1-CHK-046	Invoice Type Code Present; Invoice Type Code UNCL1001 Invoice Context; Invoice Type Code UNCL1001 Credit Note Context	ERP	Direct field with context-specific codelist checks.	No action.	P1
5	invoice_currency_code	IBT-005	InvoiceHeaders		currency	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-005; UAE-UC1-CHK-006	Invoice Currency Present; Invoice Currency ISO Format	ERP	Direct field with ISO4217 validation.	FX-rate dependency handled separately.	P1
6	transaction_type_code	BTUAE-02	InvoiceHeaders		transaction_type_code	invoice_headers_template.csv	Direct	Runtime scenario bitmask populated from ERP or scenario logic.	Fully Covered	Yes	UAE-UC1-CHK-059; UAE-UC1-CHK-060	Transaction Type Code Present; Transaction Type Code Valid Format	ERP	Critical UAE extension field for scenario routing.	Decoder-backed runtime validation now checks presence and valid binary/mask structure.	P1
7	payment_due_date	IBT-009	InvoiceHeaders		payment_due_date	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-009	Payment Due Date Required if Amount Due > 0	ERP	Direct field with dependency validation against amount due.	No action.	P1
8	business_process_type	IBT-023	System / ASP		business_process	system/default	System Default	Fixed predefined runtime value, not expected from upload.	Fully Covered	No	UAE-UC1-CHK-011	Business Process Type Correct	ASP/System	Traceable as configured runtime default, not uploaded data.	Confirm configured production default value and owner.	P2
9	specification_identifier	IBT-024	System / ASP		spec_id	system/default	System Default	Fixed predefined runtime value, not expected from upload.	Fully Covered	No	UAE-UC1-CHK-010	Specification Identifier Correct Prefix	ASP/System	Traceable as configured runtime default, not uploaded data.	Confirm configured CustomizationID value and owner.	P2
10	payment_means_code	IBT-081	InvoiceHeaders		payment_means_code	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-047	Payment Means Code UNCL4461	ERP	Direct header field with payment means codelist validation.	No action.	P1
11	seller_name	IBT-027	InvoiceHeaders		seller_name	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-012	Seller Name Present	ERP	Direct seller master field in headers dataset.	No action.	P1
12	seller_electronic_address	IBT-034	InvoiceHeaders		seller_electronic_address	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-014	Seller Electronic Address Present	ERP	Direct endpoint value; scheme attribute handled separately.	Confirm scheme attribute sourcing.	P1
13	seller_electronic_identifier	IBT-034-1	System / ASP		system/default	system/default	ASP Derived	Fixed/defaulted endpoint scheme attribute, typically 0235.	Reference Only	No	UAE-UC1-CHK-014	Seller Electronic Address Present	ASP/System	Technical attribute referenced by runtime, not upload-owned.	Make runtime ownership explicit in production design.	P2
14	seller_legal_reg_id	IBT-030	InvoiceHeaders		seller_legal_reg_id	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-014A	Seller Legal Registration Identifier Present	ERP	Direct seller legal registration field.	No action.	P1
15	seller_legal_reg_id_type	BTUAE-15	InvoiceHeaders		seller_legal_reg_id_type	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-014B	Seller Legal Registration Identifier Type Present	ERP	Direct seller registration-type field for UAE local codes.	Consider explicit codelist enforcement if needed.	P1
16	seller_tax_identifier	IBT-031	InvoiceHeaders		seller_trn	invoice_headers_template.csv	Direct	TRN captured directly; commercial XML TIN fallback may need document-type routing.	Partially Covered	Yes	UAE-UC1-CHK-013	Seller TRN Pattern Valid	ERP	Current runtime strongly supports seller TRN validation.	Clarify commercial XML non-TRN or TIN handling.	P1
17	seller_tax_scheme_code		System / ASP		system/default	system/default	System Default	Fixed value VAT in runtime logic rather than uploaded source.	Reference Only	No		No direct rule currently linked in registry.	ASP/System	Business concept exists but runtime traceability is light.	Add explicit registry or traceability entry if needed.	P2
18	seller_address_line_1	IBT-035	InvoiceHeaders		seller_address	invoice_headers_template.csv	Direct	Current runtime column seller_address represents address line 1.	Fully Covered	Yes	UAE-UC1-CHK-015	Seller Address Mandatory Fields	ERP	Direct address field feeding seller postal address.	No action.	P1
19	seller_city	IBT-037	InvoiceHeaders		seller_city	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-015	Seller Address Mandatory Fields	ERP	Direct seller city field used in address completeness checks.	No action.	P1
20	seller_country_subdivision	IBT-039	InvoiceHeaders		seller_subdivision	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-016	UAE Subdivision Code Valid	ERP	Direct field with UAE emirate-code validation.	Confirm business policy where field is conditional or recommended.	P2
21	seller_country_code	IBT-040	InvoiceHeaders		seller_country	invoice_headers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-015; UAE-UC1-CHK-043	Seller Address Mandatory Fields; Seller Country Code ISO3166	ERP	Direct field with address completeness and ISO3166 validation.	No action.	P1
22	buyer_name	IBT-044	BuyerDetails		buyer_name	buyers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-017	Buyer Name Present	ERP	Direct buyer field from BuyerDetails dataset.	No action.	P1
23	buyer_electronic_address	IBT-049	BuyerDetails		buyer_electronic_address	buyers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-019	Buyer Electronic Address Present	ERP	Direct endpoint value; scheme attribute handled separately.	Confirm scheme attribute sourcing.	P1
24	buyer_electronic_identifier	IBT-049-1	System / ASP		system/default	system/default	ASP Derived	Endpoint scheme attribute handled by outbound/runtime logic.	Reference Only	No	UAE-UC1-CHK-019	Buyer Electronic Address Present	ASP/System	Technical attribute referenced by runtime, not upload-owned.	Add explicit production ownership note.	P2
25	buyer_tax_id OR buyer_legal_reg_id	IBT-048 / IBT-047	BuyerDetails		buyer_trn	buyers_template.csv	Document-Type Conditional	Tax Invoice path maps to buyer_trn; Commercial XML legal registration path is not distinctly modeled.	Partially Covered	No	UAE-UC1-CHK-018; UAE-UC1-CHK-036	Buyer TRN Pattern Valid; Commercial Buyer Legal Registration Identifier Present	ERP	Semantics diverge by document type and cannot be represented cleanly in one canonical field today.	Add distinct commercial XML buyer legal registration field and routing.	P1
26	buyer_tax_scheme_code OR buyer_legal_reg_id_type	Tax Inv. scheme / Comm. XML type	System / ASP	BuyerDetails	system/default; buyer-side conditional	System Default / Document-Type Conditional	Tax Invoice path is default VAT; Commercial XML path needs distinct legal registration type field.	Partially Covered	No		No clean current validation mapping for both semantics in one field.	ASP/System / ERP	Strong MoF divergence; current model does not cleanly represent both variants.	Add separate commercial XML field and validation linkage.	P1
27	buyer_address_line_1	IBT-050	BuyerDetails		buyer_address	buyers_template.csv	Direct	Current runtime column buyer_address represents address line 1.	Fully Covered	Yes	UAE-UC1-CHK-020	Buyer Address Mandatory Fields	ERP	Direct buyer address field used in address completeness checks.	No action.	P1
28	buyer_city	IBT-052	BuyerDetails		buyer_city	buyers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-020	Buyer Address Mandatory Fields	ERP	Direct buyer city field used in address completeness checks.	No action.	P1
29	buyer_country_subdivision	IBT-054	BuyerDetails		buyer_subdivision	buyers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-020	Buyer Address Mandatory Fields	ERP	Direct buyer subdivision field used in address completeness checks.	Confirm optionality and local codelist policy if needed.	P2
30	buyer_country_code	IBT-055	BuyerDetails		buyer_country	buyers_template.csv	Direct	None	Fully Covered	Yes	UAE-UC1-CHK-020; UAE-UC1-CHK-044	Buyer Address Mandatory Fields; Buyer Country Code ISO3166	ERP	Direct buyer country field with ISO3166 validation.	No action.	P1
